and_nodes,anomalies,avg_q,avg_r_dep,avg_r_env,cycles,failed_actions,max_depth,max_width,open_actions,or_nodes,q_mismatches,root_id,root_status,shared_or_states,skeleton_actions,solved,solved_actions,solved_path,solved_path_len,source_path,synthetic_skeletons,tactic_actions,theorem,total_edges,total_nodes
510,0,0.6219139229973797,0.00392156862745098,0.27877666809541896,0,271,3,372,66,196,0,state_0,OPEN,36,68,False,173,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,0,442,aime_1983_p1.json,761,706
218,36,0.977582305563957,0.009174311926605505,0.41794927804102117,0,96,1,219,2,18,0,state_0,SOLVED,1,4,True,120,state_0 -> action_73 -> state_6 -> action_82 -> state_7 -> action_87 -> state_8 -> action_98 -> state_9 -> action_110,10,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,0,214,aime_1983_p2.json,236,236
524,44,0.7813044836452603,0.0,0.5484800561643443,5,335,2,362,67,178,0,state_0,OPEN,29,80,False,122,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,12,444,aime_1983_p3.json,756,702
16,0,0.0,0.0,0.0,0,16,0,17,0,1,0,state_0,OPEN,0,4,False,0,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p1.json,0,12,aime_1984_p1.json,16,17
511,72,0.6322044788660762,0.0,0.3445332459893638,1,302,3,410,62,254,0,state_0,OPEN,34,67,False,147,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,0,444,aime_1984_p7.json,812,765
510,73,0.7503797996141208,0.0,0.3327327407905914,0,265,2,381,32,148,0,state_0,OPEN,13,32,False,213,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1987_p5.json,0,478,aime_1987_p5.json,676,658
513,28,0.7151556215296729,0.0,0.3681770640247996,0,280,3,461,55,196,0,state_0,OPEN,28,57,False,178,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1988_p8.json,1,456,aime_1988_p8.json,759,709
12,0,2.0,0.0,1.0,0,0,0,13,0,1,0,state_0,SOLVED,0,0,True,12,state_0 -> action_0,2,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1989_p8.json,0,12,aime_1989_p8.json,12,13
268,1,0.9946578400158612,0.007462686567164179,0.2185384370307865,0,60,1,273,2,22,0,state_0,SOLVED,3,4,True,206,state_0 -> action_85 -> state_7 -> action_86 -> state_8 -> action_106 -> state_9 -> action_112 -> state_10 -> action_122 -> state_11 -> action_134 -> state_12 -> action_146,14,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1990_p15.json,0,264,aime_1990_p15.json,292,290
501,59,0.636074898222317,0.0,0.2847774930326962,0,306,3,370,19,85,0,state_0,OPEN,10,22,False,176,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1990_p4.json,2,479,aime_1990_p4.json,603,586
513,31,0.7012397152604928,0.0,0.37375433514353373,0,303,2,373,42,153,0,state_0,OPEN,13,46,False,168,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1991_p9.json,2,467,aime_1991_p9.json,683,666
